Source,SiteName,NumericLevel,TripLevelID,AlertType,Measurement,Limit
Hilltop,Mangahao at Kakariki,2.4,240,RIVER HEIGHTS,Stage [Water Level],240
Hilltop,Mangahao at Kakariki,2.6,260,RIVER HEIGHTS,Stage [Water Level],260
Hilltop,Mangaone at Milson Line,1.9,190,RIVER HEIGHTS,Stage [Water Level],190
Hilltop,Mangaone at Milson Line,3.25,325,RIVER HEIGHTS,Stage [Water Level],325
Hilltop,Mangaone at Milson Line,3.5,350,RIVER HEIGHTS,Stage [Water Level],350
Hilltop,Mangaone at Milson Line,3.75,375,RIVER HEIGHTS,Stage [Water Level],375
Hilltop,Mangaone at Milson Line,4.2,420,RIVER HEIGHTS,Stage [Water Level],420
Hilltop,Mangatainoka at Larsons Road,2.0,200,RIVER HEIGHTS,Stage [Water Level],200
Hilltop,Mangatainoka at Larsons Road,2.3,230,RIVER HEIGHTS,Stage [Water Level],230
Hilltop,Mangatainoka at Larsons Road,2.4,240,RIVER HEIGHTS,Stage [Water Level],240
Hilltop,Mangatainoka at Larsons Road,2.5,250,RIVER HEIGHTS,Stage [Water Level],250
Hilltop,Mangatainoka at Larsons Road,2.8,280,RIVER HEIGHTS,Stage [Water Level],280
Hilltop,Mangatainoka at Larsons Road,4.0,400,RIVER HEIGHTS,Stage [Water Level],400
Hilltop,Mangatainoka at Pahiatua Town Bridge,1.9,190,RIVER HEIGHTS,Stage [Water Level],190
Hilltop,Mangatainoka at Pahiatua Town Bridge,2.35,235,RIVER HEIGHTS,Stage [Water Level],235
Hilltop,Mangatainoka at Pahiatua Town Bridge,3.0,300,RIVER HEIGHTS,Stage [Water Level],300
Hilltop,Mangatainoka at Pahiatua Town Bridge,3.6,360,RIVER HEIGHTS,Stage [Water Level],360
Hilltop,Matarawa at City Branch,1.5,150,RIVER HEIGHTS,Stage [Water Level],150
Hilltop,Matarawa at City Branch,1.8,180,RIVER HEIGHTS,Stage [Water Level],180
Hilltop,Matarawa at City Branch,1.9,190,RIVER HEIGHTS,Stage [Water Level],190
Hilltop,Ohau at Rongomatane,1.2,120,RIVER HEIGHTS,Stage [Water Level],120
